group,feature,normal_mean,group_mean,mean_diff,z_mean_diff,normal_std,group_std,std_ratio_to_normal,normal_iqr,group_iqr,iqr_ratio_to_normal,ks_statistic
FeatureGuideHumanMimic,burst_density,9.002955158294217,6.01265625,-2.990298908294217,-1.414625253425805,2.113845275314148,1.5670829502385244,0.7413423151349775,3.0,2.0,0.6666666666666666,0.6088573656330104
FeatureGuideHumanMimic,timing_variance,0.12373413320001364,0.10757205279860228,-0.016162080401411358,-0.045772397096700876,0.35309665708061133,0.06714218831438029,0.190152432678092,0.073934704422911,0.0729333069653349,0.9864556507611358,0.0637441014181564
FeatureGuideHumanMimic,timing_entropy,3.309915043814167,2.641298894079233,-0.6686161497349343,-2.2961664135192947,0.2911880192124916,0.3947456516182567,1.3556383696205403,0.3458328121043839,0.5509775004326936,1.5931903542639851,0.7287126215087054
FeatureGuideHumanMimic,pause_duration,0.040395013380036364,0.07321334851284819,0.03281833513281183,0.11499700016828897,0.2853842716313017,0.11331963826133395,0.39707737785821534,0.0298349857330322,0.0620205402374268,2.0787856509265876,0.5857414527780551
FeatureGuideHumanMimic,current_key_category_id,1.8133905922301008,2.0709375,0.2575469077698991,0.1378424976407653,1.8684144017841169,2.2342314920739548,1.195790125542024,0.0,0.0,,0.0634552737691002
HumanMimic,hold_time,0.11009717424016105,0.029455152273178055,-0.080642021966983,-2.8229728801843708,0.028566346681203756,0.012478563268154127,0.436827411198676,0.0373425483703613,0.019330739974975603,0.5176599032089189,0.9931089583541396
HumanMimic,flight_time,0.011573146252702152,0.19972338954607646,0.18815024329337432,0.6452967459509652,0.2915716598200101,0.26959109705009376,0.9246135142781533,0.0750865936279296,0.2207131385803223,2.9394480148347637,0.7205915642997437
HumanMimic,press_to_press_time,0.12167006235456986,0.22913273785909016,0.10746267550452031,0.3708703645627452,0.289758055031489,0.26701765888968965,0.9215193650463727,0.057595252990722684,0.2106142044067384,3.6567979732750486,0.25063259762309
HumanMimic,release_to_release_time,0.12167012661019846,0.2291753395875295,0.10750521297733104,0.3700608028142481,0.29050689011041586,0.2687473590817657,0.925098055263406,0.08204197883605961,0.19614076614379888,2.3907366561176833,0.25101245048104137
HumanMimic,overlap_ratio,0.23627840783293247,0.0,-0.23627840783293247,-0.8992366144216117,0.26275443419850797,0.0,0.0,0.398407355457103,0.0,0.0,0.6504903625287126
HumanMimic,simultaneous_key_count,1.7040147807849795,1.0,-0.7040147807849795,-1.253522242652331,0.561629268975198,0.0,0.0,1.0,0.0,0.0,0.6505902326974933
HumanMimic,modifier_count,0.020944771796664336,0.0,-0.020944771796664336,-0.14626276770701224,0.1431996134424317,0.0,0.0,0.0,0.0,,0.02094477179666432
HumanMimic,shortcut_flag,0.020944771796664336,0.0,-0.020944771796664336,-0.14626276770701224,0.1431996134424317,0.0,0.0,0.0,0.0,,0.02094477179666432
HumanMimic,correction_ratio,0.056583046863907624,0.07426135174566288,0.017678304881755258,0.18209520240768845,0.09708276027050805,0.07337695234177503,0.7558185628150665,0.0833333333333333,0.1111111111111111,1.3333333333333337,0.29065344385632014
HumanMimic,keys_per_second,9.002955158294217,4.8383,-4.164655158294217,-1.970179751058312,2.113845275314148,1.7183616114704103,0.8129079415308847,3.0,2.5,0.8333333333333334,0.7321469489663437
HumanMimic,burst_density,9.002955158294217,4.8383,-4.164655158294217,-1.970179751058312,2.113845275314148,1.7183616114704103,0.8129079415308847,3.0,2.5,0.8333333333333334,0.7321469489663437
HumanMimic,timing_variance,0.12373413320001364,0.26254051499880304,0.1388063817987894,0.3931115716201758,0.35309665708061133,0.17986803123134412,0.5094016825831363,0.073934704422911,0.1989833627389218,2.691339125408886,0.5833917107759912
